,days,item
0,0,2
1,1,1
2,2,2
3,3,2
4,4,2
5,5,3
6,6,3
7,9,3
8,10,1
9,11,4
10,12,1
11,13,5
12,14,1
13,15,2
14,16,1
15,18,3
16,19,3
17,21,5
18,22,4
19,23,6
20,24,8
21,25,4
22,26,10
23,27,3
24,28,2
25,29,3
26,30,8
27,31,8
28,32,2
29,33,1
30,34,7
31,35,8
32,36,2
33,37,5
34,38,5
35,39,5
36,40,2
37,41,2
38,42,4
39,43,2
40,44,2
41,45,3
42,46,4
43,47,5
44,48,1
45,49,4
46,50,3
47,52,2
48,56,1
49,57,1
50,58,1
51,59,3
52,61,2
53,63,3
54,64,2
55,65,4
56,66,1
57,67,1
58,68,1
59,69,1
60,70,1
61,71,1
62,73,1
63,75,3
64,88,1
65,96,1
66,98,1
